"id","name"
"1","Afghanistan"
"2","Åland Islands"
"3","Albania"
"4","Algeria"
"5","American Samoa"
"6","Andorra"
"7","Angola"
"8","Anguilla"
"9","Antarctica"
"10","Antigua and Barbuda"
"11","Argentina"
"12","Armenia"
"13","Aruba"
"14","Australia"
"15","Austria"
"16","Azerbaijan"
"17","Bahamas"
"18","Bahrain"
"19","Bangladesh"
"20","Barbados"
"21","Belarus"
"22","Belgium"
"23","Belize"
"24","Benin"
"25","Bermuda"
"26","Bhutan"
"27","Bolivia (Plurinational State of)"
"28","Bonaire, Sint Eustatius and Saba"
"29","Bosnia and Herzegovina"
"30","Botswana"
"31","Bouvet Island"
"32","Brazil"
"33","British Indian Ocean Territory"
"34","Brunei Darussalam"
"35","Bulgaria"
"36","Burkina Faso"
"37","Burundi"
"38","Cabo Verde"
"39","Cambodia"
"40","Cameroon"
"41","Canada"
"42","Cayman Islands"
"43","Central African Republic"
"44","Chad"
"45","Chile"
"46","China"
"47","Christmas Island"
"48","Cocos (Keeling) Islands"
"49","Colombia"
"50","Comoros"
"51","Congo"
"52","Congo, Democratic Republic of the"
"53","Cook Islands"
"54","Costa Rica"
"55","Côte d'Ivoire"
"56","Croatia"
"57","Cuba"
"58","Curaçao"
"59","Cyprus"
"60","Czechia"
"61","Denmark"
"62","Djibouti"
"63","Dominica"
"64","Dominican Republic"
"65","Ecuador"
"66","Egypt"
"67","El Salvador"
"68","Equatorial Guinea"
"69","Eritrea"
"70","Estonia"
"71","Eswatini"
"72","Ethiopia"
"73","Falkland Islands (Malvinas)"
"74","Faroe Islands"
"75","Fiji"
"76","Finland"
"77","France"
"78","French Guiana"
"79","French Polynesia"
"80","French Southern Territories"
"81","Gabon"
"82","Gambia"
"83","Georgia"
"84","Germany"
"85","Ghana"
"86","Gibraltar"
"87","Greece"
"88","Greenland"
"89","Grenada"
"90","Guadeloupe"
"91","Guam"
"92","Guatemala"
"93","Guernsey"
"94","Guinea"
"95","Guinea-Bissau"
"96","Guyana"
"97","Haiti"
"98","Heard Island and McDonald Islands"
"99","Holy See"
"100","Honduras"
"101","Hong Kong"
"102","Hungary"
"103","Iceland"
"104","India"
"105","Indonesia"
"106","Iran (Islamic Republic of)"
"107","Iraq"
"108","Ireland"
"109","Isle of Man"
"110","Israel"
"111","Italy"
"112","Jamaica"
"113","Japan"
"114","Jersey"
"115","Jordan"
"116","Kazakhstan"
"117","Kenya"
"118","Kiribati"
"119","Korea (Democratic People's Republic of)"
"120","Korea, Republic of"
"121","Kuwait"
"122","Kyrgyzstan"
"123","Lao People's Democratic Republic"
"124","Latvia"
"125","Lebanon"
"126","Lesotho"
"127","Liberia"
"128","Libya"
"129","Liechtenstein"
"130","Lithuania"
"131","Luxembourg"
"132","Macao"
"133","Madagascar"
"134","Malawi"
"135","Malaysia"
"136","Maldives"
"137","Mali"
"138","Malta"
"139","Marshall Islands"
"140","Martinique"
"141","Mauritania"
"142","Mauritius"
"143","Mayotte"
"144","Mexico"
"145","Micronesia (Federated States of)"
"146","Moldova, Republic of"
"147","Monaco"
"148","Mongolia"
"149","Montenegro"
"150","Montserrat"
"151","Morocco"
"152","Mozambique"
"153","Myanmar"
"154","Namibia"
"155","Nauru"
"156","Nepal"
"157","Netherlands"
"158","New Caledonia"
"159","New Zealand"
"160","Nicaragua"
"161","Niger"
"162","Nigeria"
"163","Niue"
"164","Norfolk Island"
"165","North Macedonia"
"166","Northern Mariana Islands"
"167","Norway"
"168","Oman"
"169","Pakistan"
"170","Palau"
"171","Palestine, State of"
"172","Panama"
"173","Papua New Guinea"
"174","Paraguay"
"175","Peru"
"176","Philippines"
"177","Pitcairn"
"178","Poland"
"179","Portugal"
"180","Puerto Rico"
"181","Qatar"
"182","Réunion"
"183","Romania"
"184","Russian Federation"
"185","Rwanda"
"186","Saint Barthélemy"
"187","Saint Helena, Ascension and Tristan da Cunha"
"188","Saint Kitts and Nevis"
"189","Saint Lucia"
"190","Saint Martin (French part)"
"191","Saint Pierre and Miquelon"
"192","Saint Vincent and the Grenadines"
"193","Samoa"
"194","San Marino"
"195","Sao Tome and Principe"
"196","Saudi Arabia"
"197","Senegal"
"198","Serbia"
"199","Seychelles"
"200","Sierra Leone"
"201","Singapore"
"202","Sint Maarten (Dutch part)"
"203","Slovakia"
"204","Slovenia"
"205","Solomon Islands"
"206","Somalia"
"207","South Africa"
"208","South Georgia and the South Sandwich Islands"
"209","South Sudan"
"210","Spain"
"211","Sri Lanka"
"212","Sudan"
"213","Suriname"
"214","Svalbard and Jan Mayen"
"215","Sweden"
"216","Switzerland"
"217","Syrian Arab Republic"
"218","Taiwan, Province of China"
"219","Tajikistan"
"220","Tanzania, United Republic of"
"221","Thailand"
"222","Timor-Leste"
"223","Togo"
"224","Tokelau"
"225","Tonga"
"226","Trinidad and Tobago"
"227","Tunisia"
"228","Turkey"
"229","Turkmenistan"
"230","Turks and Caicos Islands"
"231","Tuvalu"
"232","Uganda"
"233","Ukraine"
"234","United Arab Emirates"
"235","United Kingdom of Great Britain and Northern Ireland"
"237","United States Minor Outlying Islands"
"236","United States of America"
"238","Uruguay"
"239","Uzbekistan"
"240","Vanuatu"
"241","Venezuela (Bolivarian Republic of)"
"242","Viet Nam"
"243","Virgin Islands (British)"
"244","Virgin Islands (U.S.)"
"245","Wallis and Futuna"
"246","Western Sahara"
"247","Yemen"
"248","Zambia"
"249","Zimbabwe"
